"words"	"Freq"
"covid-19"	19
"disease"	10
"india"	10
"clinical"	9
"respiratory"	9
"drugs"	8
"infection"	8
"coronavirus"	7
"mumbai"	7
"against"	6
"cardiovascular"	6
"covidâ€‘19"	6
"has"	6
"patients"	6
"review"	6
"system"	6
"viral"	6
"acute"	5
"information"	5
"novel"	5
"syndrome"	5
"tests"	5
"2019"	4
"addition"	4
"caused"	4
"drug"	4
"heart"	4
"ii"	4
"medical"	4
"myocardial"	4
"present"	4
"protein"	4
"therapeutic"	4
"(covid-19)"	3
"ace"	3
"address"	3
"agents"	3
"angiotensin"	3
"approved"	3
"available"	3
"been"	3
"common"	3
"coronary"	3
"current"	3
"currently"	3
"damage"	3
"discussed"	3
"electronic"	3
"genome"	3
"health"	3
"hospital"	3
"human"	3
"laboratory"	3
"manifestations"	3
"mechanisms"	3
"pandemic"	3
"pathways"	3
"receptor"	3
"repurposing"	3
"research"	3
"results"	3
"sarsâ€‘covâ€‘2"	3
"such"	3
"symptoms"	3
"therapeutics"	3
"vaccines"	3
"world"	3
"10"	2
"ace2"	2
"adverse"	2
"affairs"	2
"agent"	2
"ang"	2
"antibody"	2
"approaches"	2
"arb"	2
"associated"	2
"authorization"	2
"authors"	2
"being"	2
"block"	2
"cardiac"	2
"care"	2
"center"	2
"centre"	2
"characteristics"	2
"clinic"	2
"com"	2
"considered"	2
"corona"	2
"cough"	2
"cvd"	2
"date"	2
"detection"	2
"developed"	2
"diagnostic"	2
"discovery"	2
"discuss"	2
"distress"	2
"during"	2
"east"	2
"effective"	2
"effects"	2
"efficacy"	2
"emergency"	2
"every"	2
"failure"	2
"fda"	2
"fever"	2
"formulations"	2
"general"	2
"genomic"	2
"glenmark"	2
"highlights"	2
"important"	2
"in-vitro"	2
"infections"	2
"inflammatory"	2
"injury"	2
"knowledge"	2
"ltd"	2
"management"	2
"many"	2
"medications"	2
"middle"	2
"might"	2
"neuropsychiatric"	2
"options"	2
"organization"	2
"outbreak"	2
"pathogenesis"	2
"performance"	2
"pharmaceuticals"	2
"possible"	2
"potential"	2
"preexisting"	2
"presented"	2
"process"	2
"related"	2
"relevant"	2
"remdesivir"	2
"rna"	2
"scenario"	2
"several"	2
"severe"	2
"specimens"	2
"therapy"	2
"tools"	2
"transmission"	2
"treat"	2
"treatment"	2
"type"	2
"using"	2
"very"	2
"virus"	2
"(1)joshi"	1
"(2)lilavati"	1
"(3)critical"	1
"(4)department"	1
"(4)vora"	1
"(5)metro"	1
"(6)shilpa"	1
"(7)global"	1
"(8)global"	1
"(ace2)"	1
"(covidâ€‘19)"	1
"(cvd)"	1
"(eua)"	1
"(positive-sense)"	1
"(sars-cov-2"	1
"(who)"	1
">1"	1
">46â millions"	1
"1016/s0140-6736(20)32662-3"	1
"1a"	1
"2019-ncov"	1
"2021"	1
"2â million"	1
"abbreviations"	1
"acc"	1
"accessory"	1
"accurate"	1
"acei"	1
"acid"	1
"across"	1
"acs"	1
"act"	1
"action"	1
"active"	1
"actively"	1
"additionally"	1
"addressed"	1
"adenosine"	1
"adipose"	1
"administration"	1
"adult"	1
"affect"	1
"affected"	1
"africa"	1
"again"	1
"aimed"	1
"although"	1
"american"	1
"amplification"	1
"analyze"	1
"and/or"	1
"angiotensin-converting"	1
"antiâ€‘sarsâ€‘covâ€‘2"	1
"antiâ€‘viral"	1
"antigen"	1
"antivirals"	1
"appear"	1
"arabia"	1
"arbidol"	1
"archives"	1
"ards"	1
"areas"	1
"artery"	1
"articles"	1
"assembly"	1
"assistance"	1
"at1r"	1
"atp"	1
"atrioventricular"	1
"author"	1
"av"	1
"avenue"	1
"balloon"	1
"based"	1
"basic"	1
"basis"	1
"belongs"	1
"benefit"	1
"best"	1
"betacoronavirus"	1
"betacoronaviruses"	1
"beyond"	1
"biomarkers"	1
"blocker"	1
"blood"	1
"brain"	1
"c-reactive"	1
"cad"	1
"capsid"	1
"cardiology"	1
"cardiopulmonary"	1
"careful"	1
"case"	1
"causative"	1
"cause"	1
"causes"	1
"caveats"	1
"challenging"	1
"characterizes"	1
"chd"	1
"chemoattractant"	1
"chf"	1
"china"	1
"chinese"	1
"chloroquine"	1
"chronic"	1
"city"	1
"ck-mb"	1
"classes"	1
"clinician"	1
"closely"	1
"college"	1
"colony-stimulating"	1
"combination"	1
"comparison"	1
"complete"	1
"complex"	1
"compound"	1
"comprehensive"	1
"comprised"	1
"computational"	1
"computerized"	1
"concern"	1
"conditions"	1
"conducted"	1
"confirmed"	1
"congestive"	1
"conjunction"	1
"contagious"	1
"containing"	1
"contains"	1
"continues"	1
"control"	1
"controllable"	1
"converting"	1
"cornerstones"	1
"correct"	1
"cost"	1
"counterpulsation"	1
"cov"	1
"covered"	1
"covs"	1
"creatine"	1
"crises"	1
"crisis"	1
"crp"	1
"ct"	1
"ctni"	1
"cycle"	1
"darunavir"	1
"de"	1
"deadly"	1
"deaths"	1
"declared"	1
"determined"	1
"devastating"	1
"develop"	1
"development"	1
"dexamethasone"	1
"diagnosis"	1
"diarrhoea"	1
"difference"	1
"differences"	1
"different"	1
"direct"	1
"discusses"	1
"disorders"	1
"disturbances"	1
"diverse"	1
"doi"	1
"dosing"	1
"dry"	1
"dynamics"	1
"early"	1
"eat"	1
"ecmo"	1
"effectively"	1
"efficient"	1
"effort"	1
"either"	1
"ejection"	1
"employed"	1
"enzyme"	1
"enzyme-2"	1
"epicardial"	1
"evaluated"	1
"events"	1
"evidence"	1
"evolve"	1
"expected"	1
"experimental"	1
"expert"	1
"extend"	1
"extracorporeal"	1
"factor"	1
"factor-î±"	1
"fahad"	1
"fatigue"	1
"favipiravir"	1
"fecal"	1
"fight"	1
"finally"	1
"find"	1
"focus"	1
"following"	1
"food"	1
"fraction"	1
"frontline"	1
"future"	1
"g-csf"	1
"genera"	1
"google"	1
"granted"	1
"granulocyte"	1
"group"	1
"guide"	1
"headache"	1
"help"	1
"helper"	1
"hematology/bmt"	1
"hence"	1
"hf"	1
"hfref"	1
"high"	1
"highlight"	1
"hoped"	1
"hospitalization"	1
"host-related"	1
"humans"	1
"hydroxychloroquine"	1
"i"	1
"î³-induced"	1
"iabp"	1
"icu"	1
"identifying"	1
"il"	1
"illness"	1
"imaging"	1
"implemented"	1
"in-silico"	1
"in-vivo"	1
"incubation"	1
"indications"	1
"individuals"	1
"infarction"	1
"infected"	1
"infecting"	1
"influence"	1
"inhibitor"	1
"inhibitors"	1
"inhibitory"	1
"injuries"	1
"intensive"	1
